Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",117.500000,-135.000000,180.000000,bottom
"C2","100nF","C_0402_1005Metric",135.500000,-135.000000,180.000000,bottom
"C3","100nF","C_0402_1005Metric",117.500000,-138.000000,180.000000,bottom
"C4","100nF","C_0402_1005Metric",135.500000,-138.000000,180.000000,bottom
"C5","4.7uF","C_0603_1608Metric",117.500000,-147.000000,180.000000,bottom
"C6","100nF","C_0402_1005Metric",117.500000,-141.000000,180.000000,bottom
"C7","100nF","C_0402_1005Metric",135.500000,-141.000000,180.000000,bottom
"C8","100nF","C_0402_1005Metric",117.500000,-144.000000,180.000000,bottom
"C9","100nF","C_0402_1005Metric",121.100000,-144.000000,180.000000,bottom
"C10","10uF","C_0805_2012Metric",121.100000,-147.000000,180.000000,bottom
"C11","100nF","C_0402_1005Metric",124.700000,-144.000000,180.000000,bottom
"C12","100nF","C_0402_1005Metric",128.300000,-144.000000,180.000000,bottom
"C13","100nF","C_0402_1005Metric",131.900000,-144.000000,180.000000,bottom
"C14","100nF","C_0402_1005Metric",135.500000,-144.000000,180.000000,bottom
"C15","1uF","C_0402_1005Metric",128.300000,-147.000000,180.000000,bottom
"C16","10uF","C_0805_2012Metric",124.700000,-147.000000,180.000000,bottom
"J2","microSD DM3AT-SF-PEJM5","microSD_HC_Hirose_DM3AT-SF-PEJM5",126.425000,-134.905000,0.000000,bottom
"J5","UART","PinHeader_1x04_P1.27mm_Vertical",109.300000,-143.000000,0.000000,top
"U1","LCMXO2-7000HC-4TG144C","TQFP-144_20x20mm_P0.5mm",126.500000,-141.000000,0.000000,top
